State,Sex,Age_group,COVID-19_Deaths
Georgia,Female,25-34 ,25
Georgia,Female,30-49 ,119
Georgia,Female,35-44 ,56
Georgia,Female,45-54 ,102
Georgia,Female,50-64 ,325
Georgia,Female,55-64 ,268
Georgia,Female,65-74 ,451
Georgia,Female,75-84 ,577
Georgia,Female,85 _and_over,688
Georgia,Female,All_Ages,2173
Georgia,Unknown,Under_1_year,0
Georgia,Unknown,0-17 ,0
Georgia,Unknown,1-4 ,0
Georgia,Unknown,5-14 ,0
Georgia,Unknown,15-24 ,0
Georgia,Unknown,18-29 ,0
Georgia,Unknown,25-34 ,0
Georgia,Unknown,30-49 ,0
Georgia,Unknown,35-44 ,0
Georgia,Unknown,45-54 ,0
Georgia,Unknown,50-64 ,0
Georgia,Unknown,55-64 ,0
Georgia,Unknown,65-74 ,0
Georgia,Unknown,75-84 ,0
Georgia,Unknown,85 _and_over,0
Georgia,Unknown,All_Ages,0
Georgia,All_Sexes,All_Ages,4538
Hawaii,Male,Under_1_year,0
Hawaii,Male,0-17 ,0
Hawaii,Male,1-4 ,0
Hawaii,Male,5-14 ,0
Hawaii,Male,15-24 ,0
Hawaii,Male,18-29 ,0
Hawaii,Male,25-34 ,0
Hawaii,Male,30-49 ,0
Hawaii,Male,35-44 ,0
Hawaii,Male,45-54 ,
Hawaii,Male,50-64 ,
Hawaii,Male,55-64 ,
Hawaii,Male,65-74 ,10
Hawaii,Male,75-84 ,
Hawaii,Male,85 _and_over,
Hawaii,Male,All_Ages,25
Hawaii,Female,Under_1_year,0
Hawaii,Female,0-17 ,0
Hawaii,Female,1-4 ,0
Hawaii,Female,5-14 ,0
Hawaii,Female,15-24 ,0
Hawaii,Female,18-29 ,
Hawaii,Female,25-34 ,
Hawaii,Female,30-49 ,0
Hawaii,Female,35-44 ,0
Hawaii,Female,45-54 ,
Hawaii,Female,50-64 ,
Hawaii,Female,55-64 ,
Hawaii,Female,65-74 ,
Hawaii,Female,75-84 ,
Hawaii,Female,85 _and_over,
Hawaii,Female,All_Ages,15
Hawaii,Unknown,Under_1_year,0
Hawaii,Unknown,0-17 ,0
Hawaii,Unknown,1-4 ,0
Hawaii,Unknown,5-14 ,0
Hawaii,Unknown,15-24 ,0
Hawaii,Unknown,18-29 ,0
Hawaii,Unknown,25-34 ,0
Hawaii,Unknown,30-49 ,0
Hawaii,Unknown,35-44 ,0
Hawaii,Unknown,45-54 ,0
Hawaii,Unknown,50-64 ,0
Hawaii,Unknown,55-64 ,0
Hawaii,Unknown,65-74 ,0
Hawaii,Unknown,75-84 ,0
Hawaii,Unknown,85 _and_over,0
Hawaii,Unknown,All_Ages,0
Hawaii,All_Sexes,All_Ages,40
Idaho,Male,Under_1_year,0
Idaho,Male,0-17 ,0
Idaho,Male,1-4 ,0
Idaho,Male,5-14 ,0
Idaho,Male,15-24 ,0
Idaho,Male,18-29 ,0
Idaho,Male,25-34 ,0
Idaho,Male,30-49 ,
Idaho,Male,35-44 ,
Idaho,Male,45-54 ,
Idaho,Male,50-64 ,18
Idaho,Male,55-64 ,16
Idaho,Male,65-74 ,37
Idaho,Male,75-84 ,72
Idaho,Male,85 _and_over,61
Idaho,Male,All_Ages,195
Idaho,Female,Under_1_year,0
Idaho,Female,0-17 ,0
Idaho,Female,1-4 ,0
Idaho,Female,5-14 ,0
Idaho,Female,15-24 ,0
Idaho,Female,18-29 ,0
Idaho,Female,25-34 ,0
Idaho,Female,30-49 ,
Idaho,Female,35-44 ,
Idaho,Female,45-54 ,
Idaho,Female,50-64 ,11
Idaho,Female,55-64 ,10
Idaho,Female,65-74 ,27
Idaho,Female,75-84 ,34
Idaho,Female,85 _and_over,69
Idaho,Female,All_Ages,145
Idaho,Unknown,Under_1_year,0
Idaho,Unknown,0-17 ,0
Idaho,Unknown,1-4 ,0
Idaho,Unknown,5-14 ,0
Idaho,Unknown,15-24 ,0
Idaho,Unknown,18-29 ,0
Idaho,Unknown,25-34 ,0
Idaho,Unknown,30-49 ,0
Idaho,Unknown,35-44 ,0
Idaho,Unknown,45-54 ,0
Idaho,Unknown,50-64 ,0
Idaho,Unknown,55-64 ,0
Idaho,Unknown,65-74 ,0
Idaho,Unknown,75-84 ,0
Idaho,Unknown,85 _and_over,0
Idaho,Unknown,All_Ages,0
Idaho,All_Sexes,All_Ages,340
Illinois,Male,Under_1_year,
Illinois,Male,0-17 ,
Illinois,Male,1-4 ,0
Illinois,Male,5-14 ,
Illinois,Male,15-24 ,
Illinois,Male,18-29 ,21
Illinois,Male,25-34 ,43
Illinois,Male,30-49 ,278
Illinois,Male,35-44 ,126
Illinois,Male,45-54 ,305
Illinois,Male,50-64 ,792
Illinois,Male,55-64 ,609
Illinois,Male,65-74 ,1014
Illinois,Male,75-84 ,1039
Illinois,Male,85 _and_over,844
Illinois,Male,All_Ages,3990
Illinois,Female,Under_1_year,
Illinois,Female,0-17 ,
Illinois,Female,1-4 ,0
Illinois,Female,5-14 ,0
Illinois,Female,15-24 ,
Illinois,Female,18-29 ,12
Illinois,Female,25-34 ,20
Illinois,Female,30-49 ,108
Illinois,Female,35-44 ,51
Illinois,Female,45-54 ,125
Illinois,Female,50-64 ,406
Illinois,Female,55-64 ,323
Illinois,Female,65-74 ,562
Illinois,Female,75-84 ,802
Illinois,Female,85 _and_over,1422
Illinois,Female,All_Ages,3313
Illinois,Unknown,Under_1_year,0
Illinois,Unknown,0-17 ,0
Illinois,Unknown,1-4 ,0
Illinois,Unknown,5-14 ,0
Illinois,Unknown,15-24 ,0
Illinois,Unknown,18-29 ,0
Illinois,Unknown,25-34 ,0
Illinois,Unknown,30-49 ,0
Illinois,Unknown,35-44 ,0
Illinois,Unknown,45-54 ,0
Illinois,Unknown,50-64 ,0
Illinois,Unknown,55-64 ,0
Illinois,Unknown,65-74 ,0
Illinois,Unknown,75-84 ,0
Illinois,Unknown,85 _and_over,0
Illinois,Unknown,All_Ages,0
Illinois,All_Sexes,All_Ages,7303
Indiana,Male,Under_1_year,0
Indiana,Male,0-17 ,
Indiana,Male,1-4 ,
Indiana,Male,5-14 ,0
Indiana,Male,15-24 ,
Indiana,Male,18-29 ,
Indiana,Male,25-34 ,10
Indiana,Male,30-49 ,46
Indiana,Male,35-44 ,16
Indiana,Male,45-54 ,56
Indiana,Male,50-64 ,224
Indiana,Male,55-64 ,191
Indiana,Male,65-74 ,424
Indiana,Male,75-84 ,455
Indiana,Male,85 _and_over,444
Indiana,Male,All_Ages,1598
Indiana,Female,Under_1_year,0
Indiana,Female,0-17 ,0
Indiana,Female,1-4 ,0
Indiana,Female,5-14 ,0
Indiana,Female,15-24 ,
Indiana,Female,18-29 ,
Indiana,Female,25-34 ,
Indiana,Female,30-49 ,28
Indiana,Female,35-44 ,15
Indiana,Female,45-54 ,38
Indiana,Female,50-64 ,138
Indiana,Female,55-64 ,113
Indiana,Female,65-74 ,259
Indiana,Female,75-84 ,449
Indiana,Female,85 _and_over,690
Indiana,Female,All_Ages,1568
Indiana,Unknown,Under_1_year,0
Indiana,Unknown,0-17 ,0
Indiana,Unknown,1-4 ,0
Indiana,Unknown,5-14 ,0
Indiana,Unknown,15-24 ,0
Indiana,Unknown,18-29 ,0
Indiana,Unknown,25-34 ,0
Indiana,Unknown,30-49 ,0
Indiana,Unknown,35-44 ,0
Indiana,Unknown,45-54 ,0
Indiana,Unknown,50-64 ,0
Indiana,Unknown,55-64 ,0
Indiana,Unknown,65-74 ,0
Indiana,Unknown,75-84 ,0
Indiana,Unknown,85 _and_over,0
Indiana,Unknown,All_Ages,0
Indiana,All_Sexes,All_Ages,3166
Iowa,Male,Under_1_year,0
Iowa,Male,0-17 ,0
Iowa,Male,1-4 ,0
Iowa,Male,5-14 ,0
Iowa,Male,15-24 ,0
Iowa,Male,18-29 ,
Iowa,Male,25-34 ,
Iowa,Male,30-49 ,20
Iowa,Male,35-44 ,11
Iowa,Male,45-54 ,29
Iowa,Male,50-64 ,110
Iowa,Male,55-64 ,88
Iowa,Male,65-74 ,133
Iowa,Male,75-84 ,140
Iowa,Male,85 _and_over,166
Iowa,Male,All_Ages,571
Iowa,Female,Under_1_year,
Iowa,Female,0-17 ,
Iowa,Female,1-4 ,
