State,Sex,Age_group,COVID-19_Deaths
Idaho,Female,5-14_years,0
Idaho,Female,15-24_years,0
Idaho,Female,18-29_years,0
Idaho,Female,25-34_years,0
Idaho,Female,30-49_years,
Idaho,Female,35-44_years,
Idaho,Female,45-54_years,
Idaho,Female,50-64_years,13
Idaho,Female,55-64_years,11
Idaho,Female,65-74_years,30
Idaho,Female,75-84_years,39
Idaho,Female,85_years_and_over,79
Idaho,Unknown,Under_1_year,0
Idaho,Unknown,0-17_years,0
Idaho,Unknown,1-4_years,0
Idaho,Unknown,5-14_years,0
Idaho,Unknown,15-24_years,0
Idaho,Unknown,18-29_years,0
Idaho,Unknown,25-34_years,0
Idaho,Unknown,30-49_years,0
Idaho,Unknown,35-44_years,0
Idaho,Unknown,45-54_years,0
Idaho,Unknown,50-64_years,0
Idaho,Unknown,55-64_years,0
Idaho,Unknown,65-74_years,0
Idaho,Unknown,75-84_years,0
Idaho,Unknown,85_years_and_over,0
Illinois,Male,Under_1_year,
Illinois,Male,0-17_years,
Illinois,Male,1-4_years,0
Illinois,Male,5-14_years,
Illinois,Male,15-24_years,
Illinois,Male,18-29_years,23
Illinois,Male,25-34_years,44
Illinois,Male,30-49_years,279
Illinois,Male,35-44_years,127
Illinois,Male,45-54_years,307
Illinois,Male,50-64_years,797
Illinois,Male,55-64_years,612
Illinois,Male,65-74_years,1021
Illinois,Male,75-84_years,1048
Illinois,Male,85_years_and_over,859
Illinois,Female,Under_1_year,
Illinois,Female,0-17_years,
Illinois,Female,1-4_years,0
Illinois,Female,5-14_years,0
Illinois,Female,15-24_years,
Illinois,Female,18-29_years,12
Illinois,Female,25-34_years,20
Illinois,Female,30-49_years,108
Illinois,Female,35-44_years,51
Illinois,Female,45-54_years,125
Illinois,Female,50-64_years,407
Illinois,Female,55-64_years,324
Illinois,Female,65-74_years,566
Illinois,Female,75-84_years,814
Illinois,Female,85_years_and_over,1436
Illinois,Unknown,Under_1_year,0
Illinois,Unknown,0-17_years,0
Illinois,Unknown,1-4_years,0
Illinois,Unknown,5-14_years,0
Illinois,Unknown,15-24_years,0
Illinois,Unknown,18-29_years,0
Illinois,Unknown,25-34_years,0
Illinois,Unknown,30-49_years,0
Illinois,Unknown,35-44_years,0
Illinois,Unknown,45-54_years,0
Illinois,Unknown,50-64_years,0
Illinois,Unknown,55-64_years,0
Illinois,Unknown,65-74_years,0
Illinois,Unknown,75-84_years,0
Illinois,Unknown,85_years_and_over,0
Indiana,Male,Under_1_year,0
Indiana,Male,0-17_years,
Indiana,Male,1-4_years,
Indiana,Male,5-14_years,0
Indiana,Male,15-24_years,
Indiana,Male,18-29_years,
Indiana,Male,25-34_years,10
Indiana,Male,30-49_years,47
Indiana,Male,35-44_years,16
Indiana,Male,45-54_years,58
Indiana,Male,50-64_years,231
Indiana,Male,55-64_years,197
Indiana,Male,65-74_years,433
Indiana,Male,75-84_years,467
Indiana,Male,85_years_and_over,453
Indiana,Female,Under_1_year,0
Indiana,Female,0-17_years,0
Indiana,Female,1-4_years,0
Indiana,Female,5-14_years,0
Indiana,Female,15-24_years,
Indiana,Female,18-29_years,
Indiana,Female,25-34_years,
Indiana,Female,30-49_years,29
Indiana,Female,35-44_years,15
Indiana,Female,45-54_years,40
Indiana,Female,50-64_years,141
Indiana,Female,55-64_years,115
Indiana,Female,65-74_years,266
Indiana,Female,75-84_years,461
Indiana,Female,85_years_and_over,711
Indiana,Unknown,Under_1_year,0
Indiana,Unknown,0-17_years,0
Indiana,Unknown,1-4_years,0
Indiana,Unknown,5-14_years,0
Indiana,Unknown,15-24_years,0
Indiana,Unknown,18-29_years,0
Indiana,Unknown,25-34_years,0
Indiana,Unknown,30-49_years,0
Indiana,Unknown,35-44_years,0
Indiana,Unknown,45-54_years,0
Indiana,Unknown,50-64_years,0
Indiana,Unknown,55-64_years,0
Indiana,Unknown,65-74_years,0
Indiana,Unknown,75-84_years,0
Indiana,Unknown,85_years_and_over,0
Iowa,Male,Under_1_year,0
Iowa,Male,0-17_years,0
Iowa,Male,1-4_years,0
Iowa,Male,5-14_years,0
Iowa,Male,15-24_years,0
Iowa,Male,18-29_years,
Iowa,Male,25-34_years,
Iowa,Male,30-49_years,21
Iowa,Male,35-44_years,11
Iowa,Male,45-54_years,29
Iowa,Male,50-64_years,111
Iowa,Male,55-64_years,89
Iowa,Male,65-74_years,137
Iowa,Male,75-84_years,149
Iowa,Male,85_years_and_over,173
Iowa,Female,Under_1_year,
Iowa,Female,0-17_years,
Iowa,Female,1-4_years,
Iowa,Female,5-14_years,0
Iowa,Female,15-24_years,
Iowa,Female,18-29_years,
Iowa,Female,25-34_years,
Iowa,Female,30-49_years,10
Iowa,Female,35-44_years,
Iowa,Female,45-54_years,11
Iowa,Female,50-64_years,64
Iowa,Female,55-64_years,56
Iowa,Female,65-74_years,91
Iowa,Female,75-84_years,129
Iowa,Female,85_years_and_over,227
Iowa,Unknown,Under_1_year,0
Iowa,Unknown,0-17_years,0
Iowa,Unknown,1-4_years,0
Iowa,Unknown,5-14_years,0
Iowa,Unknown,15-24_years,0
Iowa,Unknown,18-29_years,0
Iowa,Unknown,25-34_years,0
Iowa,Unknown,30-49_years,0
Iowa,Unknown,35-44_years,0
Iowa,Unknown,45-54_years,0
Iowa,Unknown,50-64_years,0
Iowa,Unknown,55-64_years,0
Iowa,Unknown,65-74_years,0
Iowa,Unknown,75-84_years,0
Iowa,Unknown,85_years_and_over,0
Kansas,Male,Under_1_year,0
Kansas,Male,0-17_years,0
Kansas,Male,1-4_years,0
Kansas,Male,5-14_years,0
Kansas,Male,15-24_years,
Kansas,Male,18-29_years,
Kansas,Male,25-34_years,
Kansas,Male,30-49_years,20
Kansas,Male,35-44_years,
Kansas,Male,45-54_years,21
Kansas,Male,50-64_years,63
Kansas,Male,55-64_years,53
Kansas,Male,65-74_years,72
Kansas,Male,75-84_years,85
Kansas,Male,85_years_and_over,68
Kansas,Female,Under_1_year,0
Kansas,Female,0-17_years,0
Kansas,Female,1-4_years,0
Kansas,Female,5-14_years,0
Kansas,Female,15-24_years,
Kansas,Female,18-29_years,
Kansas,Female,25-34_years,
Kansas,Female,30-49_years,
Kansas,Female,35-44_years,
Kansas,Female,45-54_years,
Kansas,Female,50-64_years,28
Kansas,Female,55-64_years,25
Kansas,Female,65-74_years,39
Kansas,Female,75-84_years,51
Kansas,Female,85_years_and_over,104
Kansas,Unknown,Under_1_year,0
Kansas,Unknown,0-17_years,0
Kansas,Unknown,1-4_years,0
Kansas,Unknown,5-14_years,0
Kansas,Unknown,15-24_years,0
Kansas,Unknown,18-29_years,0
Kansas,Unknown,25-34_years,0
Kansas,Unknown,30-49_years,0
Kansas,Unknown,35-44_years,0
Kansas,Unknown,45-54_years,0
